,Rainfall,Temperature,Humidity,WindSpeed
1990-04-05,0.0,28.55,47.47,2.79
1990-04-06,0.0,29.07,41.96,1.3
1990-04-07,0.0,29.8,40.88,1.88
1990-04-08,0.0,30.3,33.04,2.59
1990-04-09,0.0,29.99,42.72,3.27
1990-04-10,0.0,29.68,42.9,2.55
1990-04-11,0.0,28.71,49.02,2.66
1990-04-12,0.0,27.76,54.15,3.08
1990-04-13,0.0,30.11,49.6,3.02
1990-04-14,0.0,30.66,46.94,3.38
1990-04-15,0.02,30.7,43.49,3.1
1990-04-16,0.06,30.49,39.78,2.91
1990-04-17,1.12,30.12,45.22,2.26
1990-04-18,0.61,30.24,54.0,3.24
1990-04-19,0.04,30.53,53.17,3.67
1990-04-20,0.0,29.76,51.15,4.23
1990-04-21,0.0,29.67,48.62,3.51
1990-04-22,0.0,30.06,42.55,2.71
1990-04-23,0.0,30.96,30.79,2.39
1990-04-24,0.0,31.05,40.45,1.49
1990-04-25,0.0,30.54,52.08,3.44
1990-04-26,0.0,31.17,47.22,1.82
1990-04-27,2.21,32.03,36.29,1.63
1990-04-28,0.45,31.74,48.05,1.98
1990-04-29,0.22,30.74,51.13,3.45
1990-04-30,1.34,30.74,50.94,2.67
1990-05-01,1.94,29.38,52.8,2.24
1990-05-02,4.29,29.89,54.42,2.05
1990-05-03,0.0,29.58,50.84,2.54
1990-05-04,0.01,30.56,53.29,2.48
1990-05-05,0.5,30.87,52.24,2.45
1990-05-06,0.73,31.42,45.41,2.77
1990-05-07,0.7,31.64,42.39,3.18
1990-05-08,0.15,31.69,44.06,2.91
1990-05-09,0.22,30.69,53.18,4.14
1990-05-10,0.7,29.56,61.4,4.43
1990-05-11,22.51,27.47,72.57,3.67
1990-05-12,4.69,27.13,70.63,4.34
1990-05-13,0.07,26.91,67.5,3.95
1990-05-14,0.25,27.15,65.24,3.92
1990-05-15,0.0,27.4,60.06,3.76
1990-05-16,0.0,27.44,63.16,4.02
1990-05-17,0.0,27.84,64.23,4.25
1990-05-18,4.06,26.56,73.5,4.17
1990-05-19,4.17,26.17,75.94,3.01
1990-05-20,4.07,25.92,75.33,4.18
1990-05-21,9.42,25.17,76.71,4.27
1990-05-22,10.98,24.7,79.65,4.37
1990-05-23,1.34,25.48,75.16,3.69
1990-05-24,9.38,26.39,76.03,3.34
1990-05-25,6.89,26.43,77.47,3.05
1990-05-26,0.74,27.02,74.09,2.4
1990-05-27,28.6,25.24,83.25,2.6
1990-05-28,10.37,24.13,90.14,4.46
1990-05-29,0.35,24.95,78.53,4.96
1990-05-30,11.61,23.9,81.72,4.49
1990-05-31,9.22,24.75,80.06,4.39
1990-06-01,2.46,25.12,78.35,4.08
1990-06-02,1.18,25.23,77.93,4.37
1990-06-03,2.21,24.48,82.22,4.55
1990-06-04,6.59,25.04,81.35,4.83
1990-06-05,10.55,24.51,81.61,4.35
1990-06-06,2.51,24.56,79.33,4.25
1990-06-07,0.48,25.25,76.19,4.35
1990-06-08,8.01,24.07,81.36,4.35
1990-06-09,7.92,22.77,84.58,4.52
1990-06-10,5.86,23.22,84.12,4.71
1990-06-11,9.4,23.7,85.82,5.16
1990-06-12,23.07,22.1,87.28,5.5
1990-06-13,12.93,23.29,87.85,4.74
1990-06-14,7.12,24.92,81.18,4.83
1990-06-15,6.45,23.74,86.04,4.62
1990-06-16,8.56,24.05,84.64,5.34
1990-06-17,16.56,23.43,85.54,6.09
1990-06-18,5.61,24.19,84.58,6.02
1990-06-19,2.03,24.16,84.65,5.61
1990-06-20,0.77,24.78,80.89,5.28
1990-06-21,0.91,24.85,80.21,4.57
1990-06-22,8.56,24.32,83.13,5.65
1990-06-23,7.76,24.21,84.75,5.25
1990-06-24,12.33,24.14,84.56,5.07
1990-06-25,5.73,23.56,87.09,5.2
1990-06-26,10.24,23.96,86.09,5.02
1990-06-27,27.28,23.8,87.57,4.9
1990-06-28,19.13,24.39,87.6,5.27
1990-06-29,16.21,24.49,85.88,5.4
1990-06-30,15.47,24.04,85.46,6.05
1990-07-01,13.33,23.82,85.96,6.01
1990-07-02,14.09,23.87,86.47,6.47
1990-07-03,28.76,23.9,86.32,6.63
1990-07-04,16.04,24.16,85.98,5.73
1990-07-05,10.03,24.1,86.88,5.32
1990-07-06,10.7,23.82,88.33,3.99
1990-07-07,7.2,23.69,86.97,4.07
1990-07-08,27.58,22.48,88.01,4.98
1990-07-09,16.74,21.84,87.74,4.33
1990-07-10,8.69,22.36,87.56,5.01
1990-07-11,17.41,22.46,89.11,5.36
1990-07-12,19.88,21.48,91.1,5.18
1990-07-13,13.4,21.17,91.54,4.62
1990-07-14,6.2,22.96,88.41,5.55
1990-07-15,12.42,22.55,89.48,5.05
1990-07-16,6.73,23.11,87.71,5.49
1990-07-17,6.44,23.38,87.58,5.84
1990-07-18,9.71,23.2,88.4,5.08
1990-07-19,11.23,23.4,87.86,4.91
1990-07-20,5.61,22.41,87.5,5.06
1990-07-21,10.2,21.85,89.31,5.54
1990-07-22,6.91,23.14,87.72,5.87
1990-07-23,5.97,23.04,88.69,5.72
1990-07-24,5.74,23.36,86.6,5.53
1990-07-25,4.88,23.34,86.6,5.13
1990-07-26,3.48,23.23,86.18,4.56
1990-07-27,1.96,23.27,85.18,4.33
1990-07-28,1.25,23.26,84.99,4.16
1990-07-29,1.01,23.4,85.34,3.94
1990-07-30,1.47,23.7,84.62,4.24
1990-07-31,2.07,23.44,84.77,4.57
1990-08-01,2.11,23.54,85.2,4.34
1990-08-02,4.63,23.62,86.12,4.32
1990-08-03,10.23,23.95,84.77,4.67
1990-08-04,7.01,23.72,84.67,4.23
1990-08-05,4.64,23.75,84.8,4.57
1990-08-06,10.24,23.36,85.32,4.25
1990-08-07,5.1,22.87,87.46,4.05
1990-08-08,10.78,22.37,89.05,4.39
1990-08-09,16.54,22.86,89.15,4.09
1990-08-10,22.18,22.89,88.5,5.0
1990-08-11,16.39,22.96,88.35,5.18
1990-08-12,11.31,22.98,88.17,5.79
1990-08-13,11.74,22.44,90.72,5.07
1990-08-14,15.45,22.26,90.81,4.9
1990-08-15,19.08,22.12,91.97,5.12
1990-08-16,12.53,22.35,91.6,6.21
1990-08-17,14.09,23.23,87.96,6.72
1990-08-18,11.29,22.95,87.49,6.43
1990-08-19,5.97,22.8,87.58,5.86
1990-08-20,2.29,22.81,86.5,5.81
1990-08-21,8.37,22.06,88.65,5.37
1990-08-22,8.86,21.98,87.78,5.4
1990-08-23,7.14,22.5,87.12,5.44
1990-08-24,12.19,22.64,87.04,4.71
1990-08-25,7.96,23.29,86.8,4.27
1990-08-26,4.28,23.38,86.62,4.17
1990-08-27,3.41,23.0,88.61,3.66
1990-08-28,2.82,22.27,89.61,3.4
1990-08-29,3.55,21.59,91.33,3.93
1990-08-30,5.19,23.08,86.47,4.86
1990-08-31,4.02,23.04,85.61,4.83
1990-09-01,6.56,23.13,86.6,4.23
1990-09-02,6.12,23.33,85.47,3.9
1990-09-03,2.88,23.24,85.25,4.05
1990-09-04,3.01,23.6,85.21,4.47
1990-09-05,2.98,23.58,85.14,4.52
1990-09-06,16.02,23.01,87.27,4.05
1990-09-07,11.38,22.65,88.5,3.71
1990-09-08,3.65,22.68,88.56,3.06
1990-09-09,1.75,23.57,84.51,3.0
1990-09-10,0.82,23.79,83.72,3.2
1990-09-11,0.81,23.14,85.11,2.98
1990-09-12,1.11,23.31,84.34,3.16
1990-09-13,0.78,22.88,84.58,3.0
1990-09-14,0.16,23.62,80.35,2.77
1990-09-15,0.46,23.45,82.73,2.5
1990-09-16,0.29,23.97,79.98,2.48
1990-09-17,0.22,24.23,79.45,2.76
1990-09-18,0.01,24.03,77.62,2.87
1990-09-19,0.01,23.59,78.1,3.08
1990-09-20,0.01,23.55,79.28,3.0
1990-09-21,0.02,23.49,80.28,3.09
1990-09-22,0.01,24.38,79.45,2.87
1990-09-23,0.07,24.59,80.13,3.05
1990-09-24,2.61,23.95,81.42,3.23
1990-09-25,0.29,23.32,81.58,3.21
1990-09-26,2.45,23.3,78.41,2.82
1990-09-27,1.8,23.56,79.74,3.04
1990-09-28,3.14,23.49,82.91,2.98
1990-09-29,0.9,22.81,84.48,3.26
1990-09-30,2.67,22.56,85.63,3.12
1990-10-01,6.03,23.22,83.67,3.03
1990-10-02,3.45,23.24,84.02,3.13
1990-10-03,0.33,23.61,81.16,3.28
1990-10-04,0.43,23.27,80.14,3.16
1990-10-05,0.05,23.18,77.71,3.23
1990-10-06,0.6,23.31,78.44,3.03
1990-10-07,1.16,23.85,81.26,3.43
1990-10-08,3.81,23.97,82.25,3.72
1990-10-09,1.06,23.55,81.16,3.24
1990-10-10,0.22,24.04,77.69,2.32
1990-10-11,0.17,24.99,74.91,1.87
1990-10-12,0.01,22.58,82.93,2.16
1990-10-13,0.55,24.94,74.88,1.58
1990-10-14,1.38,26.05,71.85,1.01
1990-10-15,0.34,26.31,69.12,2.29
1990-10-16,1.45,25.31,74.13,2.2
1990-10-17,3.72,25.59,73.07,2.47
1990-10-18,5.32,25.44,73.0,3.15
1990-10-19,1.14,25.69,72.73,2.74
1990-10-20,0.25,26.08,66.49,2.2
1990-10-21,0.05,25.81,60.98,2.32
1990-10-22,0.0,24.6,69.65,2.34
1990-10-23,1.21,25.58,74.11,2.31
1990-10-24,4.86,24.65,82.29,3.01
1990-10-25,11.32,24.12,83.19,2.91
1990-10-26,14.81,22.88,83.69,2.59
1990-10-27,11.61,24.07,76.69,2.53
1990-10-28,3.7,24.16,80.13,2.36
1990-10-29,5.36,24.36,79.9,2.7
1990-10-30,2.13,24.73,74.86,2.99
1990-10-31,0.09,24.3,75.8,3.01
1990-11-01,2.26,24.49,76.49,3.48
1990-11-02,0.47,24.37,71.21,2.81
1990-11-03,0.0,23.3,65.15,1.81
1990-11-04,0.0,23.0,71.73,2.16
1990-11-05,0.02,23.4,74.87,1.71
1990-11-06,0.01,23.11,80.32,2.59
1990-11-07,0.0,22.65,80.73,2.44
1990-11-08,0.0,22.97,81.47,2.29
1990-11-09,0.0,24.74,72.58,1.23
1990-11-10,0.0,24.68,67.44,1.12
1990-11-11,0.0,24.37,59.19,1.5
1990-11-12,0.0,22.03,54.76,2.11
1990-11-13,0.0,21.19,56.05,1.63
1990-11-14,0.0,22.38,73.25,1.94
1990-11-15,0.0,23.29,77.82,2.39
1990-11-16,1.14,23.17,86.05,1.39
1990-11-17,0.28,22.38,85.34,1.55
1990-11-18,0.0,25.14,73.89,1.7
1990-11-19,0.0,25.23,70.64,1.3
1990-11-20,0.0,25.6,60.76,1.64
1990-11-21,0.0,24.65,65.49,2.82
1990-11-22,0.0,23.27,64.69,2.79
1990-11-23,0.0,24.56,70.07,2.14
1990-11-24,0.0,25.67,67.0,3.02
1990-11-25,0.0,25.38,69.09,3.58
1990-11-26,0.0,24.91,69.75,4.53
1990-11-27,0.04,23.49,70.58,4.49
1990-11-28,0.04,24.38,70.36,3.57
1990-11-29,0.01,24.25,60.19,2.58
1990-11-30,0.0,23.95,57.58,2.34
1990-12-01,0.0,23.65,55.04,2.63
1990-12-02,0.0,23.5,53.47,2.79
1990-12-03,0.0,24.79,67.71,2.55
1990-12-04,0.0,23.99,68.15,3.74
1990-12-05,0.0,23.86,70.1,4.3
1990-12-06,0.0,23.5,69.44,3.98
1990-12-07,0.0,23.48,61.93,3.25
1990-12-08,0.0,23.35,59.75,3.33
1990-12-09,0.0,22.27,63.25,2.51
1990-12-10,0.0,22.53,57.94,2.58
1990-12-11,0.0,22.75,58.08,3.32
1990-12-12,0.0,22.65,62.05,3.74
1990-12-13,0.0,22.42,62.68,3.37
1990-12-14,0.0,22.58,55.68,2.16
1990-12-15,0.0,22.2,57.13,1.41
1990-12-16,0.0,22.28,60.13,0.98
1990-12-17,0.0,22.24,67.44,1.53
1990-12-18,0.0,22.73,57.46,1.32
1990-12-19,0.0,22.65,53.66,2.07
1990-12-20,0.0,22.72,56.2,2.48
1990-12-21,0.0,22.97,60.08,2.56
1990-12-22,0.0,22.88,60.65,2.89
1990-12-23,0.0,23.08,61.51,2.87
1990-12-24,0.0,23.8,63.94,3.45
1990-12-25,0.0,23.6,54.44,3.26
1990-12-26,0.0,24.14,54.37,3.59
1990-12-27,0.0,22.1,49.9,4.05
1990-12-28,0.0,20.46,52.85,3.14
1990-12-29,0.0,21.11,56.8,2.07
1990-12-30,0.0,21.86,63.19,1.33
1990-12-31,1.07,23.34,61.99,1.43
1991-01-01,0.23,22.45,63.22,1.97
1991-01-02,0.0,19.97,54.92,1.77
1991-01-03,0.0,19.25,37.7,1.62
1991-01-04,0.0,20.77,45.62,1.21
1991-01-05,0.0,23.41,61.0,1.42
1991-01-06,0.0,24.93,60.52,1.79
1991-01-07,0.0,25.15,57.39,1.97
1991-01-08,0.0,24.81,50.95,2.34
1991-01-09,0.0,23.86,54.02,1.71
1991-01-10,0.0,23.61,53.95,1.01
1991-01-11,0.0,23.24,62.28,1.23
1991-01-12,0.0,23.54,57.65,1.18
1991-01-13,0.0,24.28,45.05,0.96
1991-01-14,0.0,24.04,48.1,1.64
1991-01-15,0.0,24.31,47.58,1.46
1991-01-16,0.0,24.45,44.36,2.19
1991-01-17,0.0,24.21,47.42,3.09
1991-01-18,0.0,24.74,45.41,2.99
1991-01-19,0.0,25.47,50.25,1.84
1991-01-20,0.0,26.31,49.27,1.56
1991-01-21,0.0,25.79,41.04,1.61
1991-01-22,0.0,25.5,40.43,2.09
1991-01-23,0.0,25.52,41.19,2.26
1991-01-24,0.0,25.36,39.49,2.85
1991-01-25,0.0,24.93,39.23,3.64
1991-01-26,0.0,24.21,40.34,3.65
1991-01-27,0.0,24.35,34.74,2.98
1991-01-28,0.0,24.35,30.06,2.43
1991-01-29,0.0,24.08,19.47,3.21
1991-01-30,0.0,23.43,31.57,3.65
1991-01-31,0.0,23.35,36.49,3.87
1991-02-01,0.0,24.24,38.04,1.84
1991-02-02,0.0,23.96,45.18,2.11
1991-02-03,0.0,23.65,37.19,1.99
1991-02-04,0.0,23.82,30.99,1.01
1991-02-05,0.0,25.25,35.68,1.58
1991-02-06,0.0,25.38,41.09,2.35
1991-02-07,0.0,25.35,35.35,2.99
1991-02-08,0.0,25.38,32.0,3.16
1991-02-09,0.0,25.91,30.08,3.42
1991-02-10,0.0,26.0,27.09,3.01
1991-02-11,0.0,25.73,37.36,2.31
1991-02-12,0.0,26.21,50.05,0.94
1991-02-13,0.0,26.08,43.66,0.72
1991-02-14,0.0,26.77,23.24,2.12
1991-02-15,0.0,26.12,24.08,2.18
1991-02-16,0.0,25.36,43.98,2.16
1991-02-17,0.0,25.37,42.65,1.91
1991-02-18,0.0,25.2,37.62,1.16
1991-02-19,0.0,26.63,29.54,1.71
1991-02-20,0.0,26.97,31.55,3.36
1991-02-21,0.0,26.86,35.16,4.56
1991-02-22,0.0,25.46,32.36,3.24
1991-02-23,0.0,26.35,29.09,2.42
1991-02-24,0.0,27.4,34.01,2.15
1991-02-25,0.0,28.5,41.9,1.61
1991-02-26,0.0,28.04,43.15,2.37
1991-02-27,0.0,27.71,39.48,1.97
1991-02-28,0.0,27.49,38.05,2.42
1991-03-01,0.0,27.01,38.17,1.36
1991-03-02,0.0,28.19,37.87,1.08
1991-03-03,0.0,29.89,34.42,1.13
1991-03-04,0.0,29.21,33.84,1.97
1991-03-05,0.0,28.45,35.46,1.81
1991-03-06,0.0,27.57,41.57,2.57
1991-03-07,0.0,26.97,51.07,2.9
1991-03-08,0.0,27.4,48.52,1.81
1991-03-09,0.0,28.44,48.65,1.48
1991-03-10,0.0,29.5,42.6,1.9
1991-03-11,0.0,30.61,39.71,1.23
1991-03-12,0.0,29.77,47.3,2.75
1991-03-13,0.0,29.37,42.32,2.21
1991-03-14,0.0,28.81,49.62,2.87
1991-03-15,0.0,29.56,47.58,1.65
1991-03-16,0.0,29.37,38.34,0.83
1991-03-17,0.0,29.69,37.29,1.97
1991-03-18,0.0,29.42,20.6,2.27
1991-03-19,0.0,29.1,42.29,1.68
1991-03-20,0.0,28.92,51.42,2.4
1991-03-21,0.0,28.71,51.31,3.19
1991-03-22,0.0,29.22,44.91,2.86
1991-03-23,0.0,29.46,34.09,2.36
1991-03-24,0.0,29.48,32.51,2.25
1991-03-25,0.0,29.99,36.9,1.41
1991-03-26,0.0,30.6,42.05,1.49
1991-03-27,0.0,30.77,39.33,2.46
1991-03-28,0.0,30.67,27.92,3.11
1991-03-29,0.0,30.58,26.59,3.03
1991-03-30,0.0,30.82,25.24,1.99
1991-03-31,0.0,29.11,50.49,2.81
1991-04-01,0.0,29.38,50.8,2.43
1991-04-02,1.91,29.38,53.39,2.39
1991-04-03,0.12,30.23,49.56,2.11
1991-04-04,0.0,27.71,55.29,2.37
1991-04-05,0.0,28.59,50.02,2.29
1991-04-06,0.0,28.52,49.2,1.6
1991-04-07,3.02,28.89,52.81,2.28
1991-04-08,0.26,28.83,53.17,3.08
1991-04-09,0.0,29.38,44.83,2.38
1991-04-10,0.0,30.17,40.46,2.64
1991-04-11,0.0,30.61,37.84,2.69
1991-04-12,0.0,30.35,41.68,2.53
1991-04-13,0.0,30.75,48.69,2.15
1991-04-14,0.0,31.89,42.55,1.97
1991-04-15,0.0,31.28,43.65,2.64
1991-04-16,0.0,29.67,50.12,2.51
1991-04-17,0.7,32.09,41.63,1.8
1991-04-18,0.03,32.48,43.22,2.39
1991-04-19,0.0,30.5,52.76,3.91
1991-04-20,0.0,29.55,51.6,3.56
1991-04-21,0.0,29.79,52.92,3.45
1991-04-22,0.0,30.41,47.75,3.05
1991-04-23,0.0,30.53,47.66,3.1
1991-04-24,0.0,30.59,49.91,2.99
1991-04-25,0.0,29.73,55.6,3.12
1991-04-26,0.77,30.14,54.47,2.65
1991-04-27,0.03,30.98,52.72,2.52
1991-04-28,0.0,31.19,50.86,3.82
1991-04-29,0.0,30.11,53.58,4.37
1991-04-30,0.25,29.63,53.13,4.36
1991-05-01,0.34,29.89,54.83,4.38
1991-05-02,0.0,30.54,51.48,4.11
1991-05-03,0.0,30.4,51.35,3.83
1991-05-04,0.0,30.84,49.08,3.17
1991-05-05,0.0,30.38,50.61,3.3
1991-05-06,0.0,29.78,55.27,4.04
1991-05-07,0.0,30.03,57.13,3.93
1991-05-08,0.0,30.17,56.27,3.54
1991-05-09,0.0,30.21,55.54,4.08
1991-05-10,0.0,30.32,53.8,3.92
1991-05-11,0.0,30.08,49.91,1.65
1991-05-12,0.0,31.23,48.86,1.73
1991-05-13,0.0,29.18,57.22,3.27
1991-05-14,1.03,29.3,54.56,2.39
1991-05-15,5.2,29.45,57.47,1.81
1991-05-16,2.51,30.5,57.27,1.87
1991-05-17,0.0,30.21,55.52,2.76
1991-05-18,0.0,29.39,56.07,3.0
1991-05-19,0.0,29.84,49.77,1.88
1991-05-20,0.41,30.79,44.23,1.87
1991-05-21,0.32,31.43,50.68,3.53
1991-05-22,3.77,28.81,61.04,3.56
1991-05-23,0.89,30.18,56.63,3.15
1991-05-24,0.0,29.52,61.04,4.43
1991-05-25,0.0,29.79,54.84,4.18
1991-05-26,0.0,29.75,59.06,3.5
1991-05-27,0.0,29.89,56.27,2.21
1991-05-28,0.0,31.53,47.84,2.22
1991-05-29,0.0,32.16,47.81,2.35
1991-05-30,0.0,30.59,58.14,3.92
1991-05-31,1.06,29.91,60.1,3.98
1991-06-01,0.5,30.15,59.86,3.16
1991-06-02,4.9,31.02,57.08,2.39
1991-06-03,8.24,28.25,68.7,3.79
1991-06-04,7.04,27.91,67.51,2.88
1991-06-05,19.14,26.39,79.85,3.0
1991-06-06,96.15,24.77,91.36,4.71
1991-06-07,36.58,24.14,88.48,5.5
1991-06-08,62.0,24.16,89.36,6.22
1991-06-09,39.03,25.12,88.14,6.17
1991-06-10,31.05,24.93,86.82,6.51
1991-06-11,25.54,25.32,86.75,6.0
1991-06-12,3.41,25.0,89.26,5.57
1991-06-13,2.88,24.77,88.85,5.13
1991-06-14,2.65,24.5,80.21,3.81
1991-06-15,0.59,23.91,83.82,3.28
1991-06-16,47.75,24.05,88.42,3.96
1991-06-17,30.06,24.19,88.01,4.98
1991-06-18,3.12,23.42,88.55,5.4
1991-06-19,10.06,23.57,88.44,5.6
1991-06-20,7.79,24.05,86.14,5.29
1991-06-21,1.31,24.93,85.5,4.4
1991-06-22,3.3,24.23,89.12,2.84
1991-06-23,1.74,23.89,89.57,2.9
1991-06-24,7.29,23.42,88.63,3.5
1991-06-25,5.01,22.43,89.2,3.98
1991-06-26,12.75,23.03,87.87,4.77
1991-06-27,37.16,22.61,89.2,4.21
1991-06-28,19.03,22.95,88.69,4.28
1991-06-29,11.61,22.58,87.78,4.5
1991-06-30,7.24,22.83,87.73,3.95
1991-07-01,3.08,22.75,88.1,4.55
1991-07-02,4.39,22.99,88.59,4.45
1991-07-03,3.61,22.12,87.05,4.68
1991-07-04,15.32,21.67,86.98,4.66
1991-07-05,2.19,23.07,87.1,4.74
1991-07-06,4.81,21.92,86.94,5.04
1991-07-07,14.84,22.07,87.43,5.17
1991-07-08,29.76,22.41,91.2,4.58
1991-07-09,26.49,22.25,88.9,5.45
1991-07-10,21.7,22.24,91.23,4.28
1991-07-11,16.86,22.93,91.99,4.84
1991-07-12,15.81,22.8,91.73,6.16
1991-07-13,13.52,22.85,89.65,6.14
1991-07-14,11.93,23.21,89.09,6.45
1991-07-15,18.9,22.35,88.54,6.84
1991-07-16,29.02,22.45,91.57,6.6
1991-07-17,33.21,22.76,90.25,6.32
1991-07-18,22.94,22.77,89.52,5.78
1991-07-19,10.47,22.57,89.39,5.54
1991-07-20,8.94,23.37,88.7,5.02
1991-07-21,12.7,23.24,88.46,5.51
1991-07-22,17.1,23.17,88.28,5.95
1991-07-23,11.08,23.45,88.07,5.73
1991-07-24,9.06,23.49,88.51,6.16
1991-07-25,4.68,23.72,87.69,6.3
1991-07-26,8.97,23.27,88.45,7.29
1991-07-27,26.39,22.67,88.2,7.85
1991-07-28,20.24,22.79,89.22,7.47
1991-07-29,13.89,23.03,90.49,7.09
1991-07-30,8.27,23.7,89.91,6.59
1991-07-31,11.68,23.27,89.01,5.18
1991-08-01,14.27,22.99,90.13,4.35
1991-08-02,22.38,22.07,91.03,3.72
1991-08-03,12.28,23.01,88.98,4.1
1991-08-04,5.01,22.42,90.08,4.0
1991-08-05,7.02,22.27,89.38,3.96
1991-08-06,13.91,22.41,91.11,4.25
1991-08-07,13.66,22.09,91.42,4.47
1991-08-08,11.87,22.43,89.21,4.75
1991-08-09,11.61,22.92,89.06,4.72
1991-08-10,3.1,23.14,88.55,4.47
1991-08-11,8.31,23.09,88.82,4.56
1991-08-12,7.6,23.28,89.18,4.87
1991-08-13,16.28,23.33,89.25,5.15
1991-08-14,23.89,22.51,89.95,5.79
1991-08-15,15.55,22.56,88.57,5.5
1991-08-16,7.29,22.87,89.2,5.33
1991-08-17,18.07,23.21,88.46,5.24
1991-08-18,12.72,23.12,88.96,4.67
1991-08-19,10.11,22.94,88.8,4.91
1991-08-20,4.91,22.71,88.59,5.05
1991-08-21,2.52,23.03,88.23,4.77
1991-08-22,6.46,23.14,88.77,4.71
1991-08-23,7.53,22.97,88.52,4.92
1991-08-24,4.87,22.89,87.76,5.42
1991-08-25,5.17,22.89,87.38,4.94
1991-08-26,4.06,23.36,87.31,4.03
1991-08-27,2.78,23.12,87.13,3.79
1991-08-28,1.67,23.0,86.68,3.94
1991-08-29,3.3,22.73,87.39,3.92
